"n","Id","Name","Period","dim_IC_low","dim_ideology","dim_IC_high","wnom_ideology","bay_ic_low","bay_ideology","bay_ic_high","quant_parties","party_1","party_2","party_3","party_4","Sex","Birth_date"
"58",161,"María Pía Guzmán Mena","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1957-06-23T00:00:00"
"59",161,"María Pía Guzmán Mena","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1957-06-23T00:00:00"
"60",161,"María Pía Guzmán Mena","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1957-06-23T00:00:00"
"61",164,"Carlos Hidalgo González","Periodo_1",0.0105966428137417,-0.0266661556379787,-0.0639289540896991,0.562301218509674,0.45788864316283,0.499194764410902,0.552388505900221,1,"IND",NA,NA,NA,"Masculino","1955-06-10T00:00:00"
"62",164,"Carlos Hidalgo González","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1955-06-10T00:00:00"
"63",164,"Carlos Hidalgo González","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1955-06-10T00:00:00"
"64",164,"Carlos Hidalgo González","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1955-06-10T00:00:00"
"65",164,"Carlos Hidalgo González","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1955-06-10T00:00:00"
"66",164,"Carlos Hidalgo González","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1955-06-10T00:00:00"
"67",165,"Gonzalo Ibáñez Santa María","Periodo_1",0.306770647616006,0.269507849164286,0.232245050712565,0.907388091087341,0.970754382969111,1.05163120594268,1.13471249769401,1,"UDI",NA,NA,NA,"Masculino","1945-12-30T00:00:00"
"68",165,"Gonzalo Ibáñez Santa María","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1945-12-30T00:00:00"
"69",165,"Gonzalo Ibáñez Santa María","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1945-12-30T00:00:00"
"70",165,"Gonzalo Ibáñez Santa María","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1945-12-30T00:00:00"
"71",165,"Gonzalo Ibáñez Santa María","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1945-12-30T00:00:00"
"72",165,"Gonzalo Ibáñez Santa María","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1945-12-30T00:00:00"
