Id,Name,Sex,Birth_date,dim_ideology_P1,dim_ideology_P2,dim_ideology_P3,dim_ideology_P4,dim_ideology_P5,dim_ideology_P6,dim_IC_low_P1,dim_IC_low_P2,dim_IC_low_P3,dim_IC_low_P4,dim_IC_low_P5,dim_IC_low_P6,dim_IC_high_P1,dim_IC_high_P2,dim_IC_high_P3,dim_IC_high_P4,dim_IC_high_P5,dim_IC_high_P6,wnom_ideology_P1,wnom_ideology_P2,wnom_ideology_P3,wnom_ideology_P4,wnom_ideology_P5,wnom_ideology_P6,bay_ideology_P1,bay_ideology_P2,bay_ideology_P3,bay_ideology_P4,bay_ideology_P5,bay_ideology_P6,bay_ic_low_P1,bay_ic_low_P2,bay_ic_low_P3,bay_ic_low_P4,bay_ic_low_P5,bay_ic_low_P6,bay_ic_high_P1,bay_ic_high_P2,bay_ic_high_P3,bay_ic_high_P4,bay_ic_high_P5,bay_ic_high_P6,party_1_P1,party_1_P2,party_1_P3,party_1_P4,party_1_P5,party_1_P6
811,Ramón Barros Montero,Masculino,1958-03-05T00:00:00,0.302136234550855,0.386240159435263,0.778664024972818,0.055302519134476,1.21957770431298,NA,0.339392303475758,0.426367852207801,0.748897616150315,0.081750777229868,1.19000081500847,NA,0.264880165625953,0.346112466662725,0.808430433795321,0.028854261039084,1.24915459361749,NA,0.918125689029694,0.757409036159515,0.78787237405777,0.871932089328766,0.93433403968811,NA,0.954476908084662,1.00706868692997,1.08547086653035,1.08229103978384,1.17637240241334,NA,0.918460003831196,1.06426035898853,1.02518652904869,1.13957501280022,1.21703258995932,NA,0.991126836371885,0.957127370847553,1.13302147493695,1.04002720470278,1.13758293638605,NA,UDI,UDI,UDI,UDI,UDI,NA
812,Eugenio Bauer Jouanne,Masculino,1947-05-20T00:00:00,0.313793743834208,0.351277898761824,0.859845956232256,NA,NA,NA,0.351049812759111,0.39140559153481,0.830076114730536,NA,NA,NA,0.276537674909306,0.311150205988839,0.889615797733977,NA,NA,NA,0.906283795833588,0.784570217132568,0.828943848609924,NA,NA,NA,1.01141549129019,1.08511012886323,1.12584093070224,NA,NA,NA,0.958887953697535,1.14782959313899,1.06795344729269,NA,NA,NA,1.07869081987551,1.03742504634805,1.17831510929907,NA,NA,NA,UDI,UDI,UDI,NA,NA,NA
813,Germán Becker Alvear,Masculino,1955-03-13T00:00:00,-0.100602525015828,0.215117759831504,0.959825599777591,0.0341646161372777,NA,NA,-0.0633464560909247,0.255245452604042,0.930059190954975,0.0606152819720669,NA,NA,-0.137858593940731,0.174990067058966,0.989592008600208,0.00771395030248859,NA,NA,0.37438490986824,0.461297541856766,0.641794681549072,0.743917047977448,NA,NA,0.377441664089893,0.656802732050535,0.809079690675218,0.878858569746916,NA,NA,0.334318994868399,0.682099366303408,0.778724335996058,0.919340464879988,NA,NA,0.429400159865745,0.619432647988029,0.852170640493523,0.847960457862825,NA,NA,RN,RN,RN,RN,NA,NA
814,Mario Bertolino Rendic,Masculino,1954-02-03T00:00:00,0.0351761839287232,0.302219515449563,0.743459284212899,NA,NA,NA,0.0724322528536261,0.342347208222548,0.713689442711178,NA,NA,NA,-0.00207988499617972,0.262091822676577,0.773229125714619,NA,NA,NA,0.563446283340454,0.64921498298645,0.677656531333923,NA,NA,NA,0.506277612090452,0.841038269058019,0.864779141213664,NA,NA,NA,0.455720519461828,0.88618850602179,0.81157977882142,NA,NA,NA,0.562499102968049,0.789775787168506,0.916427599247098,NA,NA,NA,RN,RN,RN,NA,NA,NA
815,Sergio Bobadilla Muñoz,Masculino,1958-03-25T00:00:00,NA,0.381034127178487,0.814943129933244,NA,1.05239889999266,0.646540860152901,NA,0.421166022518667,0.785176721110431,NA,1.02282537696792,0.67490998701915506,NA,0.340902231838307,0.844709538756056,NA,1.0819724230174,0.618171733286647,NA,0.848461151123047,0.749054312705994,NA,0.77613353729248,0.655627191066742,NA,1.16148434538605,0.972347194499653,NA,0.907304407243234,1.02032245115168,NA,1.21436396442951,0.891967153187236,NA,0.95705433208053,0.982638645370243,NA,1.07865460768726,1.02344950116058,NA,0.864844887123491,1.05750455549962,NA,UDI,UDI,NA,UDI,UDI
816,Jorge Burgos Varela,Masculino,1956-06-24T00:00:00,-0.941183867425674,-0.563373458139339,0.00662878867305439,NA,NA,NA,-0.903927798500771,-0.523245765366354,-0.0231410528286663,NA,NA,NA,-0.978439936350577,-0.603501150912325,0.036398630174775,NA,NA,NA,-0.831888258457184,-0.748827040195465,-0.289969921112061,NA,NA,NA,-0.651088239158076,-0.575600361811928,-0.381027814325316,NA,NA,NA,-0.684702209925806,-0.523350195356703,-0.418799629042249,NA,NA,NA,-0.620136004124217,-0.64149499155772,-0.332274746632479,NA,NA,NA,DC,DC,DC,NA,NA,NA
817,Juan Bustos Ramírez,Masculino,1935-12-08T00:00:00,-0.842206594130399,-0.442602865063931,NA,NA,NA,NA,-0.804950525204313,-0.40246676169534,NA,NA,NA,NA,-0.879462663056485,-0.482738968432522,NA,NA,NA,NA,-0.980955481529236,-1,NA,NA,NA,NA,-1.02159751806592,-1.21633697513077,NA,NA,NA,NA,-1.10222734418793,-1.15938654077818,NA,NA,NA,NA,-0.962626428498357,-1.31982910518412,NA,NA,NA,NA,PS,PS,NA,NA,NA,NA
818,Alberto Cardemil Herrera,Masculino,1945-11-01T00:00:00,0.058453898749216,0.337376171624678,1.09288925687253,NA,NA,NA,0.0957099676741189,0.377503864397664,1.06311941537081,NA,NA,NA,0.021197829824313,0.297248478851692,1.12265909837425,NA,NA,NA,0.605028569698334,0.687968373298645,0.698954880237579,NA,NA,NA,0.571023694968133,0.906059343676323,0.911964669813395,NA,NA,NA,0.529210196800392,0.95490652142291,0.862776887748154,NA,NA,NA,0.622219853804032,0.864052526213264,0.961699945813963,NA,NA,NA,IND,IND,IND,NA,NA,NA
819,Guillermo Ceroni Fuentes,Masculino,1946-07-30T00:00:00,-0.901822358846777,-0.916518919862649,-0.247966072684487,-0.749380455477259,NA,NA,-0.864566289921874,-0.876391227090111,-0.277732481507104,-0.722929789642469,NA,NA,-0.93907842777168,-0.956646612635187,-0.218199663861871,-0.775831121312048,NA,NA,-0.907150149345398,-0.768290340900421,-0.478637456893921,-0.704542636871338,NA,NA,-0.879267978337144,-0.629781695240246,-0.619583840934593,-0.56011426098553,NA,NA,-0.929633227814373,-0.5758055604383,-0.658410934740343,-0.515600872880659,NA,NA,-0.828315914991452,-0.683764256426801,-0.577614738532956,-0.618175412670833,NA,NA,PPD,PPD,PPD,PPD,NA,NA
820,Francisco Chahuán Chahuán,Masculino,1971-05-20T00:00:00,NA,0.133446093680571,NA,NA,NA,NA,NA,0.173586402260157,NA,NA,NA,NA,NA,0.0933057851009855,NA,NA,NA,NA,NA,0.417413592338562,NA,NA,NA,NA,NA,0.596098805339898,NA,NA,NA,NA,NA,0.630575266846971,NA,NA,NA,NA,NA,0.570431125911909,NA,NA,NA,NA,NA,RN,NA,NA,NA,NA
821,Sergio Correa De la Cerda,Masculino,1938-05-12T00:00:00,0.266694091981857,0.362529990309369,NA,NA,NA,NA,0.303950160907943,0.402666093677961,NA,NA,NA,NA,0.229438023055771,0.322393886940778,NA,NA,NA,NA,0.911299884319305,0.857193529605865,NA,NA,NA,NA,0.984277036184328,1.2117508544934,NA,NA,NA,NA,0.923114867808623,1.30270907615202,NA,NA,NA,NA,1.0541930920793,1.15256070825712,NA,NA,NA,NA,UDI,UDI,NA,NA,NA,NA
822,María Angélica Cristi Marfil,Femenino,1941-10-13T00:00:00,0.198117905966848,0.286317083580952,0.805414489985545,NA,NA,NA,0.235373974891751,0.326444776353937,0.775644648483824,NA,NA,NA,0.160861837041945,0.246189390807966,0.835184331487266,NA,NA,NA,0.860893547534943,0.858516097068787,0.782842636108398,NA,NA,NA,0.88261668480424,1.13786071673373,1.03772559029908,NA,NA,NA,0.8157205162573,1.22629402334435,0.995075223555796,NA,NA,NA,0.935763788497174,1.04035127835441,1.07225778611447,NA,NA,NA,RN,RN,RN,NA,NA,NA
823,Marcela Cubillos Sigall,Femenino,1967-02-02T00:00:00,0.221264730812003,0.251859223490305,NA,NA,NA,NA,0.258520799738089,0.291995326858897,NA,NA,NA,NA,0.184008661885918,0.211723120121714,NA,NA,NA,NA,0.907363533973694,0.872120380401611,NA,NA,NA,NA,0.983271571480727,1.18603820365199,NA,NA,NA,NA,0.89740200081664,1.28055005663861,NA,NA,NA,NA,1.05572214593939,1.10831366127642,NA,NA,NA,NA,UDI,UDI,NA,NA,NA,NA
824,Alfonso De Urresti Longton,Masculino,1966-03-07T00:00:00,NA,-0.981177555675884,-0.550507183482353,NA,NA,NA,NA,-0.941045660335257,-0.580277024984383,NA,NA,NA,NA,-1.02130945101651,-0.520737341980323,NA,NA,NA,NA,-0.955690145492554,-0.729845345020294,NA,NA,NA,NA,-1.04151274550454,-1.01028609947046,NA,NA,NA,NA,-0.913782807957948,-1.05277208623216,NA,NA,NA,NA,-1.11161943681417,-0.948850225041864,NA,NA,NA,NA,PS,PS,NA,NA,NA
825,Roberto Delmastro Naso,Masculino,1945-10-17T00:00:00,0.0311213259580665,0.182413425533843,0.591610398638084,NA,NA,NA,0.0683773948829694,0.222541118306829,0.561840557136363,NA,NA,NA,-0.00613474296683643,0.142285732760857,0.621380240139805,NA,NA,NA,0.624437630176544,0.567961454391479,0.539493203163147,NA,NA,NA,0.550631605750017,0.749728047384307,0.634951211440209,NA,NA,NA,0.501182257751508,0.781826012131124,0.593677944303871,NA,NA,NA,0.59211378020923,0.721263931191489,0.663436837373773,NA,NA,NA,IND,IND,IND,NA,NA,NA
826,Eduardo Díaz Del Río,Masculino,1973-12-17T00:00:00,-0.0610237848566872,-0.414584337451004,NA,NA,NA,NA,-0.0237677159306016,-0.374448234082412,NA,NA,NA,NA,-0.0982798537827729,-0.454720440819595,NA,NA,NA,NA,0.57288014888763406,-0.565958917140961,NA,NA,NA,NA,0.503996713377204,-0.270936110665688,NA,NA,NA,NA,0.457026587274008,-0.224385256505745,NA,NA,NA,NA,0.542805885823367,-0.325307992872528,NA,NA,NA,NA,PRI,PRI,NA,NA,NA,NA
827,Marcelo Díaz Díaz,Masculino,1971-02-06T00:00:00,NA,-1.02286070962749,-0.547543233253996,NA,-0.781359474316603,NA,NA,-0.982728814287305,-0.577309642076808,NA,-0.810936363621115,NA,NA,-1.06299260496767,-0.517776824431183,NA,-0.751782585012092,NA,NA,-0.951535642147064,-0.734972655773163,NA,-0.779378354549408,NA,NA,-0.975395781230221,-1.02435300008327,NA,-0.884077226012228,NA,NA,-0.923617731031641,-1.07743059859107,NA,-0.838919112602341,NA,NA,-1.01789940618298,-0.976330137704439,NA,-0.950238810206771,NA,NA,PS,PS,NA,PS,NA
828,Julio Dittborn Cordua,Masculino,1951-10-19T00:00:00,0.269417204745862,0.29374482897225,NA,NA,NA,NA,0.306673273671948,0.333880932340841,NA,NA,NA,NA,0.232161135819777,0.253608725603658,NA,NA,NA,NA,0.866161346435547,0.791908264160156,NA,NA,NA,NA,0.922849341774332,1.05998536407236,NA,NA,NA,NA,0.88045101862474,1.12418013443462,NA,NA,NA,NA,0.968554134913256,0.993586389803249,NA,NA,NA,NA,UDI,UDI,NA,NA,NA,NA
829,Gonzalo Duarte Leiva,Masculino,1953-04-01T00:00:00,NA,-0.945187487041009,NA,NA,NA,NA,NA,-0.905047178461424,NA,NA,NA,NA,NA,-0.985327795620595,NA,NA,NA,NA,NA,-0.79326319694519,NA,NA,NA,NA,NA,-0.699941230656105,NA,NA,NA,NA,NA,-0.654057382725977,NA,NA,NA,NA,NA,-0.747023734167535,NA,NA,NA,NA,NA,DC,NA,NA,NA,NA
830,Andrés Egaña Respaldiza,Masculino,1947-03-08T00:00:00,0.286415331253845,0.452764061362998,NA,NA,NA,NA,0.323671400179931,0.492900164731589,NA,NA,NA,NA,0.249159262327759,0.412627957994407,NA,NA,NA,NA,0.881827354431152,0.808098018169403,NA,NA,NA,NA,0.980553237113877,1.10904197418452,NA,NA,NA,NA,0.919059613164063,1.16776778292411,NA,NA,NA,NA,1.0447351853337,1.04203818573491,NA,NA,NA,NA,UDI,UDI,NA,NA,NA,NA
